일자,요일,도로명,링크아이디,시점명,종점명,방향,거리,차선수,기능유형구분,도심/외곽구분,권역구분,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
20230101,일,가락로,1230019600,송파한양아파트,방이동고분군,하행,417,1,기타도로,외곽,송파구,21.88,20.84,24.98,28.490000000000002,21.73,22.89,22.150000000000002,15.81,15.46,12.620000000000001,18.56,16.61,14.67,13.450000000000001,15.620000000000001,17.080000000000002,14.84,13.92,16.14,13.16,12.71,17.7,21.27,17.990000000000002
20230101,일,가락로,1230024800,방이동고분군,방이초교,하행,845,1,기타도로,외곽,송파구,22.67,26.43,39.44,31.28,25.650000000000002,27.07,25.55,22.88,24.22,18.580000000000002,21.77,23.64,18.69,18.68,21.41,21.73,19.21,19.32,21.01,22.09,19.2,19.66,23.2,21.78
20230101,일,가로공원로,1140033400,가로공원로부천시계,신월사거리,상행,586,2,보조간선도로,외곽,양천구,18.740000000000002,20,17.2,28.39,21.39,23.42,16.46,20.14,19.5,18.6,16.3,18.92,19.31,17.42,17.75,18,22.28,16.26,16.09,16.45,18.71,15.55,18.84,19.95
20230101,일,가로공원로,1140034800,신월사거리,월정초교앞,상행,530,3,보조간선도로,외곽,양천구,27.29,25.900000000000002,25.79,25.72,25.04,20.55,28.330000000000002,22.400000000000002,25.400000000000002,23.93,21.080000000000002,21.95,20.47,22.66,17.97,23.54,27.29,22.91,21.56,26.43,23,20.98,23.66,25.92
20230101,일,가로공원로,1150008900,월정초교앞,강서나누리병원,상행,250,3,보조간선도로,외곽,양천구,13.200000000000001,18.71,19.91,24.93,20.59,20.55,25.1,28.21,23.57,20.01,16.45,17.36,11.92,19.8,12.88,14.26,22.46,15.36,17.92,15.780000000000001,20.45,17.96,17.990000000000002,17.55
20230101,일,가로공원로,1150009100,강서나누리병원,화곡터널북단,상행,517,3,보조간선도로,외곽,강서구,23.69,22.38,21.830000000000002,24.84,25.07,22.41,23.94,28.400000000000002,21.3,25.39,18.67,18.91,18.75,15.700000000000001,16.8,19.56,21.12,20.86,20.01,23.11,18.98,18.54,21.88,22.69
20230101,일,가로공원로,1150009000,화곡터널북단,강서나누리병원,하행,513,3,보조간선도로,외곽,강서구,22.31,25.3,27.400000000000002,25.94,28.96,26.810000000000002,22.11,14.8,22.39,20.73,20.43,22.23,25.51,26.5,16.05,19.56,20.21,18.23,20.28,20.26,20.900000000000002,24.14,24.240000000000002,26.580000000000002
20230101,일,가로공원로,1150008800,강서나누리병원,월정초교앞,하행,250,3,보조간선도로,외곽,강서구,32.730000000000004,33,33.37,27.39,28.02,29.98,29.68,20.18,23.07,30.76,24.830000000000002,23.76,28,26.3,24.44,32.1,27.7,27.05,26,29.45,31.060000000000002,31.39,25.87,24.02
20230101,일,가로공원로,1140034700,월정초교앞,신월사거리,하행,530,3,보조간선도로,외곽,양천구,23.97,23.23,23.57,23.68,22.29,22.93,22.56,21.38,23.19,17.73,16.16,17.88,20.26,13.59,15.610000000000001,16.26,15.92,15.5,17.650000000000002,18.25,16.240000000000002,16.63,17.14,21.98
20230101,일,가로공원로,1140033300,신월사거리,가로공원로부천시계,하행,586,2,보조간선도로,외곽,양천구,21.42,18.42,19.75,20.5,24.17,29.5,23.38,26.54,25.5,24.580000000000002,22.67,18.830000000000002,24.25,20.67,19.830000000000002,20.830000000000002,20.080000000000002,21.5,21.67,17.67,21.75,22.92,23.080000000000002,21.67
20230101,일,가로공원로76길,1150008400,강서나누리병원,화곡대림아파트,상행,576,1,기타도로,외곽,강서구,19.98,25.84,25.05,26.59,22.830000000000002,22.580000000000002,21.66,18.88,21.06,16.57,18.59,19.75,19.29,16.02,16.75,17.05,17.05,17.5,18.38,17.85,17.7,17.490000000000002,17.400000000000002,22.36
20230101,일,가로공원로76길,1150008500,화곡대림아파트,강서나누리병원,하행,572,1,기타도로,외곽,강서구,21.26,19.240000000000002,18.35,17.740000000000002,16.330000000000002,24.82,17.39,14.92,17.93,13.68,18.34,15.63,15.9,15.08,10.92,14.22,15.21,16.78,14.49,15.74,16.06,18.580000000000002,20.59,22.54
20230101,일,가마산로,1180011300,해군회관앞,사러가시장앞,상행,995,2,보조간선도로,외곽,동작구,21.44,20.95,20.3,21.26,21.830000000000002,21.69,23.21,23.69,20.93,23.93,25.11,22.84,22.16,21.31,17.36,20.06,20.650000000000002,19.91,21.98,22.12,21.330000000000002,22.7,24.79,24.53
20230101,일,가마산로,1180011800,사러가시장앞,성락주유소앞,상행,750,3,보조간선도로,외곽,영등포구,18.68,18.18,17.59,17.69,19.14,18.47,24.19,25.78,26.88,20,18.89,19.080000000000002,17.21,17.1,15.88,15.27,15.780000000000001,17.22,17.68,15.67,18.19,18.96,20.830000000000002,19.21
20230101,일,가마산로,1180010800,성락주유소앞,성락빌딩앞,상행,272,3,보조간선도로,외곽,영등포구,23.84,25.5,27.650000000000002,26.68,27.650000000000002,17.09,21.95,24.87,22.95,25.09,22.92,21.44,18.6,21.82,24.09,24.52,25.59,25.080000000000002,25.23,26.46,27.82,24.16,21.740000000000002,24.02
20230101,일,가마산로,1180009800,성락빌딩앞,대림3동사거리,상행,416,3,보조간선도로,외곽,영등포구,12.41,13.48,14.83,15.16,14.82,13.86,23.77,24.240000000000002,32.11,26.09,22.75,26.94,23.21,21.09,27.2,25.080000000000002,21.72,27.13,25.5,24.26,29.900000000000002,24.82,21.18,15.99
20230101,일,가마산로,1160012500,대림3동사거리,거리공원오거리,상행,444,3,보조간선도로,외곽,영등포구,18.61,20.05,20.22,21.53,20.13,20.34,26.44,20.77,22.29,21.34,20.57,23.53,23.03,24.12,25.96,23.05,23.2,22.89,19.400000000000002,24.27,19.400000000000002,20.03,19.46,21.72
20230101,일,가마산로,1160011700,거리공원오거리,구로구청구의회,상행,494,3,보조간선도로,외곽,구로구,24.51,23.36,30.04,29.060000000000002,24.54,18.650000000000002,24.990000000000002,24.830000000000002,27.560000000000002,21.32,20.89,25.91,24.71,23.01,21.42,22.43,23.990000000000002,22.41,23.44,24.45,27.63,27.46,25.85,28.310000000000002
20230101,일,가마산로,1160010500,구로구청구의회,고대구로병원,상행,539,3,보조간선도로,외곽,구로구,21.36,22.61,25.02,24.69,24.72,20.25,20.26,23.94,23.38,26,24.25,27.69,25.46,23.32,25.67,22.25,22.53,19.46,20.650000000000002,19.62,20.13,20.16,21.6,25.88
